New Jersey Energy Consumption Estimates 2021
https://www.eia.gov/state/?sid=NJ#tabs-1
07:13:54 GMT-0400 (Eastern Daylight Time)
Source: Energy Information Administration, State Energy Data System
Category,New Jersey Energy Consumption Estimates Trillion Btu
Coal,12.6
Natural Gas,697
Motor Gasoline excl. Ethanol,383.7
Distillate Fuel Oil,158.8
Jet Fuel,80.1
HGL,23.8
Residual Fuel,25.9
Other Petroleum,81.5
Nuclear Electric Power,294
Hydroelectric Power,0.2
Biomass,47.5
Other Renewables,38.2
Net Electricity Imports,0
Net Interstate Flow of Electricity,159.5
